converted_country_name,discipline_title,medal_type,medal_count
France,Gymnastics Artistic,SILVER,9
United Kingdom,Tennis,BRONZE,9
South Africa,Athletics,GOLD,9
South Africa,Boxing,BRONZE,9
Finland,Speed skating,BRONZE,9
Poland,Wrestling,SILVER,9
Germany,Canoe Slalom,BRONZE,9
Netherlands,Cycling Track,GOLD,9
Sweden,Modern Pentathlon,GOLD,9
United States,Fencing,BRONZE,9
Sweden,Alpine Skiing,BRONZE,9
Poland,Boxing,SILVER,9
China,Badminton,BRONZE,9
France,Weightlifting,GOLD,9
South Korea,Speed skating,SILVER,9
Bulgaria,Boxing,BRONZE,9
United Kingdom,Cycling Track,BRONZE,9
France,Shooting,GOLD,9
Hungary,Weightlifting,SILVER,9
France,Archery,SILVER,9
China,Swimming,BRONZE,9
South Korea,Short Track Speed Skating,BRONZE,9
France,Shooting,SILVER,9
Norway,Shooting,GOLD,9
South Korea,Shooting,SILVER,9
Norway,Nordic Combined,SILVER,9
United States,Freestyle Skiing,BRONZE,9
Italy,Cross Country Skiing,BRONZE,9
Hungary,Weightlifting,BRONZE,9
Sweden,Speed skating,GOLD,9
United States,Tennis,BRONZE,9
Norway,Athletics,GOLD,9
Japan,Athletics,SILVER,9
China,Diving,BRONZE,9
Sweden,Swimming,GOLD,9
Russia,Weightlifting,BRONZE,9
France,Boxing,SILVER,9
Sweden,Swimming,BRONZE,9
United States,Tennis,GOLD,9
Germany,Diving,SILVER,9
Sweden,Sailing,SILVER,9
Hungary,Gymnastics Artistic,BRONZE,9
Greece,Athletics,GOLD,8
Switzerland,Snowboard,GOLD,8
Sweden,Diving,SILVER,8
Uzbekistan,Boxing,BRONZE,8
China,Badminton,SILVER,8
Germany,Rowing,GOLD,8
Netherlands,Athletics,BRONZE,8
Russia,Canoe Sprint,BRONZE,8
Finland,Ski Jumping,GOLD,8
United States,Snowboard,SILVER,8
Germany,Nordic Combined,BRONZE,8
Sweden,Alpine Skiing,GOLD,8
China,Judo,GOLD,8
Germany,Fencing,GOLD,8
Finland,Speed skating,SILVER,8
Morocco,Athletics,BRONZE,8
China,Weightlifting,BRONZE,8
China,Wrestling,BRONZE,8
China,Freestyle Skiing,SILVER,8
Netherlands,Cycling Road,GOLD,8
Germany,Cycling Road,SILVER,8
Germany,Ski Jumping,SILVER,8
Mexico,Boxing,BRONZE,8
Romania,Wrestling,SILVER,8
Azerbaijan,Boxing,BRONZE,8
Germany,Equestrian Dressage,BRONZE,8
Norway,Sailing,SILVER,8
Canada,Figure skating,BRONZE,8
Hungary,Boxing,BRONZE,8
Czechia,Gymnastics Artistic,SILVER,8
United States,Sailing,GOLD,8
Canada,Canoe Sprint,SILVER,8
Spain,Athletics,BRONZE,8
South Korea,Archery,SILVER,8
Austria,Luge,SILVER,8
Türkiye,Weightlifting,GOLD,8
Ukraine,Wrestling,BRONZE,8
Bulgaria,Athletics,SILVER,8
Indonesia,Weightlifting,BRONZE,8
Norway,Athletics,BRONZE,8
Czechia,Wrestling,BRONZE,8
Russia,Freestyle Skiing,BRONZE,8
United States,Judo,BRONZE,8
Bulgaria,Weightlifting,BRONZE,8
United Kingdom,Judo,SILVER,8
Austria,Ski Jumping,BRONZE,8
Poland,Boxing,GOLD,8
Canada,Figure skating,SILVER,8
North Korea,Weightlifting,SILVER,8
Germany,Canoe Slalom,GOLD,8
Azerbaijan,Wrestling,SILVER,8
France,Gymnastics Artistic,BRONZE,8
United States,Fencing,SILVER,8
Brazil,Athletics,BRONZE,8
Japan,Speed skating,SILVER,8
Canada,Speed skating,GOLD,8
Iran,Weightlifting,GOLD,8
Brazil,Swimming,BRONZE,8
Austria,Ski Jumping,SILVER,8
Italy,Gymnastics Artistic,BRONZE,8
Norway,Nordic Combined,BRONZE,8
France,Biathlon,SILVER,7
Morocco,Athletics,GOLD,7
Denmark,Sailing,GOLD,7
Finland,Gymnastics Artistic,GOLD,7
Finland,Gymnastics Artistic,BRONZE,7
Austria,Figure skating,SILVER,7
China,Table Tennis,BRONZE,7
South Korea,Boxing,SILVER,7
Austria,Luge,BRONZE,7
United Kingdom,Diving,BRONZE,7
Austria,Nordic Combined,BRONZE,7
China,Taekwondo,GOLD,7
Romania,Canoe Sprint,BRONZE,7
Denmark,Sailing,SILVER,7
New Zealand,Canoe Sprint,GOLD,7
Germany,Equestrian Dressage,GOLD,7
United States,Archery,SILVER,7
Sweden,Diving,BRONZE,7
United States,Archery,BRONZE,7
Italy,Wrestling,GOLD,7
Belarus,Athletics,BRONZE,7
Finland,Speed skating,GOLD,7
United Kingdom,Tennis,SILVER,7
Mexico,Diving,BRONZE,7
South Africa,Swimming,SILVER,7
Argentina,Boxing,GOLD,7
United Kingdom,Sailing,BRONZE,7
Japan,Athletics,GOLD,7
Russia,Gymnastics Rhythmic,GOLD,7
Belarus,Wrestling,BRONZE,7
Belarus,Wrestling,SILVER,7
Argentina,Boxing,SILVER,7
United States,Equestrian Eventing,SILVER,7
Finland,Nordic Combined,SILVER,7
Germany,Diving,GOLD,7
Italy,Cross Country Skiing,GOLD,7
Belgium,Archery,GOLD,7
South Korea,Shooting,GOLD,7
Netherlands,Athletics,GOLD,7
Netherlands,Sailing,SILVER,7
Hungary,Shooting,BRONZE,7
Netherlands,Cycling Track,BRONZE,7
Canada,Alpine Skiing,BRONZE,7
Hungary,Gymnastics Artistic,SILVER,7
Denmark,Cycling Track,BRONZE,7
Canada,Boxing,SILVER,7
Trinidad and Tobago,Athletics,BRONZE,7
Thailand,Weightlifting,BRONZE,7
Thailand,Boxing,BRONZE,7
Greece,Wrestling,BRONZE,7
Ukraine,Boxing,BRONZE,7
Netherlands,Sailing,GOLD,7
Spain,Canoe Sprint,SILVER,7
Netherlands,Sailing,BRONZE,7
Switzerland,Wrestling,BRONZE,7
Switzerland,Shooting,BRONZE,7
Canada,Snowboard,BRONZE,7
Canada,Wrestling,SILVER,7
Canada,Wrestling,BRONZE,7
Russia,Cycling Track,BRONZE,7
Hungary,Shooting,GOLD,7
Italy,Weightlifting,BRONZE,7
Indonesia,Weightlifting,SILVER,7
Czechia,Shooting,SILVER,7
France,Swimming,GOLD,7
Unified Team,Gymnastics Artistic,GOLD,7
France,Archery,GOLD,7
Iran,Weightlifting,SILVER,7
Kazakhstan,Boxing,SILVER,7
Kazakhstan,Boxing,GOLD,7
Czechia,Wrestling,SILVER,7
South Korea,Taekwondo,BRONZE,7
Canada,Boxing,BRONZE,7
Czechia,Shooting,GOLD,7
Romania,Wrestling,GOLD,7
Bulgaria,Shooting,SILVER,7
South Korea,Fencing,BRONZE,6
France,Shooting,BRONZE,6
South Africa,Athletics,BRONZE,6
Denmark,Wrestling,BRONZE,6
France,Freestyle Skiing,SILVER,6
France,Freestyle Skiing,BRONZE,6
Denmark,Swimming,BRONZE,6
Denmark,Boxing,BRONZE,6
Russia,Cycling Road,BRONZE,6
Cuba,Judo,GOLD,6
Germany,Cross Country Skiing,SILVER,6
Finland,Ski Jumping,SILVER,6
Egypt,Weightlifting,BRONZE,6
Georgia,Wrestling,SILVER,6
South Africa,Boxing,GOLD,6
France,Canoe Slalom,GOLD,6
Finland,Shooting,SILVER,6
South Korea,Weightlifting,SILVER,6
South Africa,Swimming,GOLD,6
France,Boxing,GOLD,6
Finland,Shooting,BRONZE,6
South Korea,Weightlifting,BRONZE,6
South Korea,Archery,BRONZE,6
Russia,Diving,GOLD,6
Czechia,Shooting,BRONZE,6
Sweden,Boxing,BRONZE,6
Cuba,Wrestling,SILVER,6
Russia,Diving,SILVER,6
Sweden,Biathlon,SILVER,6
France,Biathlon,BRONZE,6
Liechtenstein,Alpine Skiing,BRONZE,6
United Kingdom,Gymnastics Artistic,BRONZE,6
United Kingdom,Rowing,GOLD,6
China,Boxing,BRONZE,6
Bulgaria,Athletics,BRONZE,6
Australia,Cycling Track,GOLD,6
Canada,Canoe Sprint,BRONZE,6
Norway,Athletics,SILVER,6
Switzerland,Freestyle Skiing,GOLD,6
Italy,Cycling Road,GOLD,6
Switzerland,Shooting,SILVER,6
Romania,Shooting,GOLD,6
Italy,Cycling Track,SILVER,6
United States,Rowing,GOLD,6
Belgium,Athletics,GOLD,6
Belgium,Archery,SILVER,6
Indonesia,Badminton,GOLD,6
Ukraine,Wrestling,SILVER,6
Indonesia,Badminton,BRONZE,6
United Kingdom,Rowing,SILVER,6
Canada,Short Track Speed Skating,SILVER,6
Bulgaria,Gymnastics Artistic,BRONZE,6
Taiwan,Taekwondo,BRONZE,6
Greece,Weightlifting,GOLD,6
New Zealand,Sailing,BRONZE,6
New Zealand,Sailing,GOLD,6
Bahamas,Athletics,GOLD,6
Bulgaria,Shooting,BRONZE,6
Hungary,Modern Pentathlon,SILVER,6
Poland,Weightlifting,GOLD,6
Austria,Swimming,SILVER,6
Romania,Weightlifting,SILVER,6
Hungary,Judo,BRONZE,6
Switzerland,Athletics,SILVER,6
Mexico,Athletics,SILVER,6
Croatia,Alpine Skiing,SILVER,6
Russia,Biathlon,SILVER,6
Sweden,Modern Pentathlon,SILVER,6
Yugoslavia,Wrestling,BRONZE,6
Yugoslavia,Wrestling,SILVER,6
Unified Team,Wrestling,GOLD,6
Sweden,Sailing,GOLD,6
