converted_country_name,event_gender,medal_type,medal_count
Lithuania,Men,BRONZE,6
Denmark,Open,GOLD,6
Ireland,Men,GOLD,6
Indonesia,Women,SILVER,6
Thailand,Women,GOLD,6
Netherlands,Open,GOLD,6
Slovenia,Women,GOLD,6
Türkiye,Women,BRONZE,6
Netherlands,Open,BRONZE,6
Israel,Men,BRONZE,6
MIX,Men,BRONZE,6
Argentina,Women,SILVER,5
Malaysia,Men,SILVER,5
Kazakhstan,Women,SILVER,5
Taiwan,Men,BRONZE,5
Austria,Open,SILVER,5
Australasia,Men,BRONZE,5
Latvia,Men,GOLD,5
Austria,Open,BRONZE,5
MIX,Men,SILVER,5
Switzerland,Open,BRONZE,5
Ethiopia,Women,SILVER,5
Taiwan,Women,GOLD,5
Brazil,Women,GOLD,5
New Zealand,Open,BRONZE,5
China,Mixed,SILVER,5
Slovenia,Men,GOLD,5
Croatia,Women,BRONZE,5
Thailand,Men,SILVER,5
Colombia,Women,SILVER,5
Indonesia,Men,SILVER,5
Ireland,Women,GOLD,5
Slovenia,Women,SILVER,5
Tunisia,Men,BRONZE,5
Trinidad and Tobago,Men,SILVER,5
China,Mixed,GOLD,5
Chile,Men,SILVER,5
South Africa,Women,BRONZE,5
Nigeria,Men,BRONZE,5
Nigeria,Women,BRONZE,5
Egypt,Women,BRONZE,5
Lithuania,Men,SILVER,4
Moldova,Men,BRONZE,4
Namibia,Men,SILVER,4
Russia,Mixed,BRONZE,4
Nigeria,Women,SILVER,4
Russia,Mixed,GOLD,4
Malaysia,Men,BRONZE,4
Morocco,Men,SILVER,4
Mongolia,Women,BRONZE,4
Portugal,Men,SILVER,4
Qatar,Men,BRONZE,4
Zimbabwe,Women,SILVER,4
Hong Kong,Women,BRONZE,4
Thailand,Men,GOLD,4
Switzerland,Open,GOLD,4
France,Mixed,GOLD,4
United States,Mixed,GOLD,4
Belgium,Open,SILVER,4
Belgium,Open,GOLD,4
Bahamas,Women,GOLD,4
Slovakia,Men,GOLD,4
Finland,Open,BRONZE,4
Taiwan,Women,SILVER,4
Estonia,Women,GOLD,4
Chile,Men,BRONZE,4
Australia,Open,BRONZE,4
Colombia,Women,GOLD,4
Serbia,Women,BRONZE,4
Uganda,Men,SILVER,4
Serbia,Men,BRONZE,4
Tunisia,Men,GOLD,4
Algeria,Men,SILVER,4
Ghana,Men,BRONZE,4
Brazil,Open,GOLD,3
Uganda,Men,GOLD,3
Canada,Open,BRONZE,3
Uganda,Men,BRONZE,3
Croatia,Women,SILVER,3
Portugal,Women,BRONZE,3
Türkiye,Women,SILVER,3
Czechia,Open,GOLD,3
Liechtenstein,Women,BRONZE,3
Portugal,Open,SILVER,3
Nigeria,Men,SILVER,3
Philippines,Men,SILVER,3
Algeria,Men,GOLD,3
Zimbabwe,Women,GOLD,3
Pakistan,Men,BRONZE,3
Argentina,Open,SILVER,3
Argentina,Women,BRONZE,3
Australasia,Men,SILVER,3
Poland,Open,GOLD,3
Venezuela,Women,BRONZE,3
Australia,Open,SILVER,3
Azerbaijan,Women,SILVER,3
Bahamas,Men,BRONZE,3
Uruguay,Men,BRONZE,3
Portugal,Men,GOLD,3
Tunisia,Men,SILVER,3
Liechtenstein,Men,BRONZE,3
Switzerland,Open,SILVER,3
Dominican Republic,Men,BRONZE,3
Greece,Women,BRONZE,3
Lithuania,Men,GOLD,3
Lithuania,Women,GOLD,3
Lithuania,Women,SILVER,3
Luxembourg,Men,SILVER,3
Serbia,Men,GOLD,3
Serbia,Men,SILVER,3
Kyrgyz Republic,Men,BRONZE,3
Kuwait,Men,BRONZE,3
Kosovo,Women,GOLD,3
Kazakhstan,Women,GOLD,3
Serbia,Women,GOLD,3
India,Men,GOLD,3
Spain,Open,BRONZE,3
Indonesia,Men,GOLD,3
Dominican Republic,Men,GOLD,3
Thailand,Women,SILVER,3
Dominican Republic,Men,SILVER,3
Trinidad and Tobago,Men,GOLD,3
Romania,Open,SILVER,2
Puerto Rico,Women,GOLD,2
West Indies Federation,Men,BRONZE,2
Qatar,Men,GOLD,2
Poland,Open,BRONZE,2
Yugoslavia,Women,SILVER,2
Yugoslavia,Women,GOLD,2
Qatar,Men,SILVER,2
Türkiye,Women,GOLD,2
Saudi Arabia,Open,BRONZE,2
Saudi Arabia,Men,SILVER,2
Philippines,Women,SILVER,2
Vietnam,Men,SILVER,2
Ukraine,Mixed,BRONZE,2
Syria,Men,BRONZE,2
Taiwan,Men,GOLD,2
Peru,Open,SILVER,2
Portugal,Women,GOLD,2
United States,Mixed,BRONZE,2
Sweden,Mixed,BRONZE,2
United States,Mixed,SILVER,2
United Kingdom,Mixed,SILVER,2
Puerto Rico,Men,SILVER,2
Portugal,Women,SILVER,2
Singapore,Women,BRONZE,2
Serbia and Montenegro,Women,SILVER,2
Uruguay,Men,SILVER,2
Serbia,Women,SILVER,2
Tanzania,Men,SILVER,2
Venezuela,Men,GOLD,2
Tunisia,Women,BRONZE,2
Afghanistan,Men,BRONZE,2
Canada,Mixed,GOLD,2
MIX,Mixed,BRONZE,2
Israel,Women,BRONZE,2
Canada,Open,SILVER,2
Canada,Mixed,SILVER,2
Italy,Mixed,SILVER,2
Japan,Mixed,BRONZE,2
Canada,Mixed,BRONZE,2
